iter	Passed	Remaining
0	1	105
1	1	96
2	2	91
3	3	86
4	4	84
5	5	83
6	6	81
7	7	80
8	7	79
9	8	77
10	9	75
11	10	73
12	10	71
13	11	70
14	12	68
15	12	66
16	13	65
17	14	64
18	14	63
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	29	43
40	29	42
41	30	41
42	31	41
43	31	40
44	32	39
45	33	39
46	34	38
47	35	37
48	35	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	46	27
63	47	26
64	47	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	58	15
79	59	14
80	60	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
