iter	RMSE
0	14.81909836
1	14.43741455
2	14.0618254
3	13.69340586
4	13.34785939
5	13.02361154
6	12.72134404
7	12.44539263
8	12.16039955
9	11.8698659
10	11.59213265
11	11.34629856
12	11.12541271
13	10.86873514
14	10.63676421
15	10.40426114
16	10.19775988
17	9.996326707
18	9.788441987
19	9.600729949
20	9.443112854
21	9.27621457
22	9.122868094
23	8.956712301
24	8.802623827
25	8.66198711
26	8.521189249
27	8.381482607
28	8.247695286
29	8.12257987
30	8.023439366
31	7.924686973
32	7.82589047
33	7.730792198
34	7.628990173
35	7.533418603
36	7.438299916
37	7.348672249
38	7.26972916
39	7.192072439
40	7.115811986
41	7.038214742
42	6.964703076
43	6.902108774
44	6.837265834
45	6.784348729
46	6.718525486
47	6.662566325
48	6.605112013
49	6.555552249
50	6.504763769
51	6.447038583
52	6.397354915
53	6.350329437
54	6.310282366
55	6.26968459
56	6.233210653
57	6.197409245
58	6.159679363
59	6.130832844
60	6.104086449
61	6.070319568
62	6.04029892
63	6.010525366
64	5.982546015
65	5.954862706
66	5.928115862
67	5.903187033
68	5.883747706
69	5.864685285
70	5.844800016
71	5.820409829
72	5.797056624
73	5.775401742
74	5.754028163
75	5.738494369
76	5.720453497
77	5.704134595
78	5.687387559
79	5.671629618
80	5.65407719
81	5.643934875
82	5.625157827
83	5.613661204
84	5.595732142
85	5.581418259
86	5.569259679
87	5.557052329
88	5.542699522
89	5.531275944
90	5.524200218
91	5.513867036
92	5.505325656
93	5.495853375
94	5.487952338
95	5.479426543
96	5.468386416
97	5.45923876
98	5.450912626
99	5.441361352
100	5.43505143
101	5.426534375
102	5.415999755
103	5.404994437
104	5.395769679
105	5.38664902
106	5.378171956
107	5.370776041
108	5.36304233
109	5.354824122
110	5.350526417
111	5.339304759
112	5.333314489
113	5.327547954
114	5.324552194
115	5.317983923
116	5.310997172
117	5.306793968
118	5.302071327
119	5.291849512
120	5.28666972
121	5.282821539
122	5.276482887
123	5.268897828
124	5.264186115
125	5.25684177
126	5.250787537
127	5.243727352
128	5.237735383
129	5.233401832
130	5.227507791
131	5.220116085
132	5.213131951
133	5.203136765
134	5.200119531
135	5.195193048
136	5.188534348
137	5.181012694
138	5.174711674
139	5.171721482
140	5.167752738
141	5.165404056
142	5.159714343
143	5.151595095
144	5.148742233
145	5.143441809
146	5.139962232
147	5.133610419
148	5.130812603
149	5.125059616
150	5.119592057
151	5.114649009
152	5.111468458
153	5.107855586
154	5.100659039
155	5.092680335
156	5.084926596
157	5.078919195
158	5.07514809
159	5.070107848
160	5.06775471
161	5.065623093
162	5.061127453
163	5.056746922
164	5.05388761
165	5.048990819
166	5.045583617
167	5.04077404
168	5.036624651
169	5.03337501
170	5.028913633
171	5.024064425
172	5.02067632
173	5.014820209
174	5.013259567
175	5.009241021
176	5.005386745
177	5.002382939
178	4.999003942
179	4.994142704
180	4.990974194
181	4.988456705
182	4.982802582
183	4.980597532
184	4.977880587
185	4.975562704
186	4.971250992
187	4.969561977
188	4.964544716
189	4.958977255
190	4.95461251
191	4.949765705
192	4.947039157
193	4.943380029
194	4.941056554
195	4.935022161
196	4.929789278
197	4.924389367
198	4.922416811
199	4.919300085
200	4.914966652
201	4.910221551
202	4.904465583
203	4.90198092
204	4.898681088
205	4.896270694
206	4.89269919
207	4.887892543
208	4.886257325
209	4.885723353
210	4.883924204
211	4.878653947
212	4.873896394
213	4.869442311
214	4.864143892
215	4.861088433
216	4.859007975
217	4.857889803
218	4.856020775
219	4.851193828
220	4.847814936
221	4.843140168
222	4.841754815
223	4.836794296
224	4.832320196
225	4.826964566
226	4.822977134
227	4.816074787
228	4.812501401
229	4.808397778
230	4.805207668
231	4.803363232
232	4.80026514
233	4.79723272
234	4.793291371
235	4.785537617
236	4.780292652
237	4.77934099
238	4.777184363
239	4.76966208
240	4.766132786
241	4.764887008
242	4.762903486
243	4.760875941
244	4.756071929
245	4.750894892
246	4.74572106
247	4.740395127
248	4.73692272
249	4.733876632
250	4.726708166
251	4.724921397
252	4.723418436
253	4.716541822
254	4.710114086
255	4.705839225
256	4.704146424
257	4.699835503
258	4.69546333
259	4.689957202
260	4.687915184
261	4.685483598
262	4.682273772
263	4.678340167
264	4.672485758
265	4.666351472
266	4.663947802
267	4.660477777
268	4.65776222
269	4.653260738
270	4.652537037
271	4.648654503
272	4.646438927
273	4.644840848
274	4.637882901
275	4.636039685
276	4.630130171
277	4.624380623
278	4.622286612
279	4.619679515
280	4.616376855
281	4.614544059
282	4.612218329
283	4.611251813
284	4.606242474
285	4.603913391
286	4.602089788
287	4.594874723
288	4.59417184
